Algorithm: Kruskal's MST
1051 50383 1
3145 7010 1
74395 76810 1
1053 9110 1
17213 91529 1
23041 27722 1
87717 88206 1
33127 36975 1
51471 88096 1
77535 92659 1
4226 4825 1
11724 59876 1
47623 90034 1
213 56192 1
1628 91616 1
1628 28939 1
35561 43943 1
70147 94327 1
15612 93375 1
5663 73443 1
214 63155 1
29048 96086 1
33124 41733 1
436 7922 1
25890 78467 1
22951 77836 1
8603 12394 1
29007 91321 1
12977 20873 1
15592 42545 1
12978 14786 1
30337 33178 1
17018 76469 1
72988 79469 1
1117 56132 1
1625 77266 1
75247 91336 1
17007 96523 1
3280 17989 1
37332 53390 1
6233 10601 1
17005 80218 1
89709 94118 1
10212 17573 1
13686 60170 1
8006 92785 1
82603 99184 1
11731 11934 1
54967 59177 1
1137 2458 1
60384 67960 1
30292 40813 1
75947 81547 1
22933 31430 1
52796 99252 1
3322 7996 1
36697 48120 1
39892 46955 1
55727 88384 1
7118 18025 1
13681 14544 1
9620 22257 1
36384 86162 1
16967 23254 1
76631 89809 1
3300 70574 1
434 91483 1
13006 46034 1
11204 42107 1
30314 95840 1
434 4818 1
22378 95461 1
11920 26959 1
20765 63023 1
16964 51449 1
45736 99825 1
10883 11112 1
25909 31299 1
22938 29866 1
76821 82435 1
42201 95869 1
73035 86629 1
87859 99608 1
3220 47581 1
45625 86186 1
45626 74722 1
6271 11133 1
24116 82100 1
89780 89796 1
89777 94711 1
19695 35909 1
45624 98216 1
35582 36321 1
3229 52410 1
26745 27877 1
47728 88543 1
11220 76853 1
37841 62890 1
30363 72377 1
203 3020 1
22994 51705 1
22997 75793 1
15530 47344 1
3214 46897 1
19676 89883 1
20847 58220 1
30397 31413 1
15533 57410 1
8837 78878 1
40857 78791 1
30389 74885 1
47758 71999 1
32324 61670 1
24628 36288 1
17117 60277 1
36348 59607 1
24620 25823 1
39921 75521 1
3258 94315 1
34563 56905 1
1111 85527 1
9133 60791 1
61315 90128 1
8029 28811 1
17063 35797 1
1654 28965 1
47690 66951 1
17055 43239 1
47698 81322 1
15584 19350 1
36714 88810 1
42152 92324 1
6242 32885 1
20799 86369 1
13716 34781 1
39460 59960 1
25880 57050 1
8031 31230 1
17082 57471 1
3240 3269 1
17080 80093 1
1661 82609 1
42133 63303 1
4257 26303 1
1660 3677 1
58600 74595 1
19571 22349 1
59114 61220 1
22976 97878 1
8030 24948 1
12964 18356 1
12964 19908 1
30352 70644 1
82543 91216 1
1656 4355 1
21091 30061 1
35715 65440 1
1828 12056 1
19426 88983 1
40925 78335 1
9895 14508 1
28637 39893 1
66734 94312 1
48254 61530 1
15247 95935 1
2979 48842 1
9896 65322 1
19431 27250 1
17472 87134 1
19436 80331 1
13929 36963 1
15258 42375 1
6430 8983 1
38683 90372 1
45201 70736 1
12710 16338 1
8525 43900 1
4515 15829 1
13948 27554 1
82189 87527 1
959 26723 1
35721 49823 1
40927 45081 1
13926 50342 1
2974 20335 1
5473 64162 1
28624 40787 1
15236 15416 1
15236 96846 1
8896 98487 1
7329 15650 1
4495 77287 1
13906 91139 1
9107 10218 1
62147 82145 1
15274 27207 1
62143 96729 1
19459 52628 1
3010 51236 1
40014 66484 1
40922 62912 1
5500 26396 1
24009 55976 1
4466 7904 1
5501 25595 1
48173 71254 1
41888 84851 1
30664 91430 1
5501 49207 1
62309 70705 1
35064 65626 1
13919 91963 1
15261 55376 1
45260 98446 1
33385 54293 1
33384 35335 1
507 30487 1
54709 63433 1
977 4081 1
62688 72498 1
56080 87390 1
6418 14443 1
21074 83159 1
21072 94242 1
15270 64077 1
41872 79230 1
60475 69921 1
8888 10815 1
24009 29577 1
48381 71530 1
9671 45858 1
62661 65409 1
61734 88485 1
19358 34778 1
931 3067 1
45083 75828 1
11312 40631 1
26996 99896 1
35740 65904 1
76147 77748 1
45088 50552 1
23209 46139 1
66308 69675 1
126 28922 1
33438 94729 1
28553 40377 1
28555 49369 1
56113 99408 1
48421 84681 1
85082 93851 1
39267 72362 1
924 50332 1
8139 40838 1
23963 95280 1
30812 71342 1
69775 81478 1
17596 38397 1
23205 71863 1
5442 78407 1
17590 95697 1
30805 39441 1
48411 67319 1
8137 18547 1
19353 85844 1
56131 83810 1
1862 12207 1
50940 76169 1
24755 98791 1
53328 55404 1
25591 83536 1
45168 49028 1
519 898 1
30745 91820 1
9662 39395 1
954 27713 1
48321 54089 1
43434 46418 1
132 21969 1
50940 76848 1
13949 40433 1
2958 70650 1
2959 50761 1
45189 46236 1
24748 28715 1
67255 96921 1
4541 44636 1
10311 26926 1
26987 33612 1
2930 30248 1
942 2723 1
8129 56950 1
2933 54585 1
43444 73621 1
25569 99055 1
502 34261 1
5459 41486 1
26981 40988 1
21141 95560 1
15181 34635 1
48344 58196 1
69803 86357 1
11300 74299 1
23977 71698 1
17322 49431 1
12812 31059 1
3078 7850 1
9916 95318 1
51149 73831 1
17327 81863 1
48037 94565 1
51157 52209 1
12814 96507 1
19536 25892 1
43314 52235 1
26859 67078 1
3086 10633 1
53105 66695 1
75524 92598 1
12819 66199 1
54782 58037 1
13846 55166 1
4397 52101 1
36764 89232 1
62141 81866 1
78588 79880 1
4421 7719 1
66775 81744 1
43322 43623 1
12803 49344 1
15344 23230 1
17349 39695 1
11956 45234 1
22240 63763 1
15347 27652 1
73815 90349 1
51132 88787 1
1768 24517 1
53129 57920 1
48059 48091 1
34605 75739 1
10270 58355 1
11952 64770 1
33285 61955 1
10793 13651 1
66795 73886 1
4379 37545 1
7668 17031 1
1744 61785 1
41967 44464 1
8074 60703 1
3098 3638 1
53078 63971 1
15405 31788 1
480 11869 1
10797 89122 1
13829 30426 1
61960 90136 1
13828 70945 1
10264 14064 1
25729 72568 1
9919 52013 1
22251 99853 1
30562 69684 1
167 1960 1
43294 44693 1
23089 52702 1
76595 91417 1
15390 29110 1
34260 46468 1
28776 65426 1
5551 76411 1
6356 89897 1
26845 97773 1
51179 84566 1
63686 78666 1
12834 43112 1
32225 90255 1
48139 68818 1
9655 34533 1
38186 84312 1
64409 71138 1
48142 52593 1
32174 35650 1
1799 17679 1
22219 48052 1
45309 49887 1
77955 94166 1
10291 45232 1
54748 99537 1
9287 85365 1
4442 71035 1
6402 27030 1
22220 29259 1
6401 56647 1
7062 42747 1
995 1285 1
37615 47186 1
61396 63093 1
19467 58013 1
36289 39317 1
51049 67774 1
66751 85368 1
17425 96705 1
35698 55067 1
38671 51163 1
67848 72032 1
5502 75686 1
21061 77966 1
6407 74177 1
23144 28929 1
25657 54160 1
51053 57104 1
4458 10393 1
87490 88524 1
41920 87478 1
26886 50339 1
43339 95052 1
8089 45124 1
1003 26982 1
1780 75017 1
53148 82377 1
1004 3354 1
32199 67193 1
158 18314 1
21027 79592 1
6386 14847 1
15335 98623 1
25698 30190 1
3061 23409 1
1774 44546 1
1006 74515 1
26875 50065 1
1007 2162 1
84830 97227 1
4439 53291 1
28702 53156 1
45320 89524 1
30632 45066 1
26896 39074 1
11677 97324 1
45332 45639 1
22225 79751 1
52784 68950 1
59687 63082 1
53162 68488 1
40525 48174 1
21035 43140 1
15323 47638 1
13872 59416 1
45345 70377 1
45346 81360 1
61290 89340 1
39771 77617 1
11836 65140 1
26387 47050 1
11774 62643 1
1449 78541 1
3924 25186 1
6003 65673 1
1278 2334 1
16059 29573 1
46971 54566 1
46956 76863 1
35439 90270 1
16064 35162 1
72751 85726 1
46350 49874 1
42839 43424 1
11835 14228 1
79989 84484 1
7181 43339 1
286 54371 1
63891 96265 1
11088 38432 1
38465 41345 1
7818 15568 1
51956 59139 1
29909 43611 1
9589 29847 1
10987 54880 1
13257 56864 1
8693 55864 1
7182 70468 1
26388 42777 1
366 58812 1
11837 50717 1
16048 19571 1
37712 73443 1
359 32306 1
26354 64782 1
16458 86192 1
20169 42512 1
22733 44249 1
7830 34897 1
3896 55489 1
55429 76469 1
7228 25397 1
7902 85639 1
46916 69378 1
68154 93467 1
46388 92968 1
55425 93321 1
34415 67107 1
13287 30936 1
29519 67026 1
20174 54062 1
80013 99777 1
29505 41887 1
29498 71216 1
52397 78718 1
46352 56151 1
29880 38775 1
61267 72910 1
61105 97478 1
46357 99320 1
10991 17706 1
32601 45828 1
7828 38960 1
22559 36250 1
3645 54076 1
16465 20522 1
3901 4151 1
55184 67170 1
16086 54392 1
20166 38519 1
278 41606 1
59929 86251 1
3976 6924 1
6036 96645 1
29400 71894 1
47050 99284 1
55137 74159 1
5797 29000 1
1250 18424 1
42479 57953 1
29399 80960 1
83709 88803 1
20091 36813 1
46234 86371 1
67064 68266 1
16562 36325 1
3580 80657 1
32586 53777 1
46253 58937 1
29962 41243 1
3991 5271 1
8775 14656 1
7930 15930 1
15962 70259 1
11854 25551 1
11112 28947 1
1245 5464 1
16598 56478 1
42879 69291 1
47081 49398 1
6043 92146 1
36473 43664 1
13214 29746 1
62924 73845 1
83723 87394 1
58789 68835 1
32883 53640 1
29922 39707 1
29454 82494 1
10129 57403 1
77774 89000 1
58809 76564 1
29924 64119 1
11092 33177 1
11838 98161 1
371 10325 1
16028 21342 1
83678 96246 1
22763 52242 1
7916 26082 1
20120 73569 1
65421 84980 1
16517 60340 1
1268 63349 1
5812 8140 1
55164 67082 1
24285 29586 1
35449 95106 1
9592 34634 1
16545 47547 1
32588 67577 1
3954 6320 1
1259 34814 1
37216 47502 1
47011 60859 1
3889 25034 1
42492 85744 1
29929 55500 1
10977 95950 1
9219 49679 1
9219 35653 1
26091 40373 1
57003 91006 1
372 32937 1
29712 81186 1
1389 23240 1
7857 30272 1
7858 19508 1
42639 75545 1
24410 46067 1
52115 81296 1
1342 45120 1
46769 51950 1
7215 72890 1
20255 24789 1
37248 94694 1
16349 97500 1
64003 92048 1
22626 75132 1
1382 3379 1
46607 79237 1
24408 66445 1
52133 59852 1
29742 80339 1
8712 47073 1
39666 80474 1
29752 95802 1
55259 55587 1
3820 90508 1
68288 73531 1
9192 25508 1
36552 44126 1
57033 70689 1
72702 92317 1
13336 84146 1
8736 67950 1
319 69154 1
35395 42190 1
29602 84569 1
1338 6499 1
40674 74867 1
16296 20293 1
3778 54262 1
24399 29229 1
3774 13015 1
26271 55782 1
10086 19486 1
32734 64067 1
46651 89510 1
29655 93593 1
46671 72176 1
16270 45807 1
60419 70898 1
11042 77857 1
16305 31240 1
32732 40276 1
32728 55530 1
58889 68991 1
26252 72512 1
38412 86863 1
16340 60972 1
3727 4894 1
3791 15911 1
40681 57016 1
9571 18903 1
8733 20546 1
24376 99334 1
1379 2725 1
66122 72086 1
68195 99320 1
3789 11152 1
9565 19517 1
16261 56185 1
3733 15500 1
40698 70979 1
16338 20992 1
35368 95330 1
46638 60183 1
3867 18250 1
8752 94390 1
24341 39750 1
34424 80185 1
11003 34410 1
16122 75767 1
76269 91414 1
68322 74269 1
5976 54284 1
70695 91967 1
7897 27652 1
22709 33469 1
8749 76459 1
20205 88065 1
16145 18913 1
26325 89927 1
80168 93627 1
308 1332 1
22706 34664 1
356 91709 1
16104 47540 1
94139 94868 1
68332 98535 1
20181 89585 1
24442 92136 1
5847 8057 1
46410 53233 1
3662 74733 1
308 4988 1
68326 84625 1
37261 86408 1
1297 24595 1
1428 85163 1
34479 49354 1
42790 88749 1
57023 98183 1
1427 8490 1
3827 41778 1
46841 53649 1
16179 43603 1
313 2850 1
46830 81985 1
55391 91582 1
3831 40545 1
61458 97740 1
46540 52984 1
32690 67523 1
1410 10238 1
22605 22836 1
52080 81174 1
55247 56016 1
3704 4824 1
32696 40280 1
9207 24226 1
46810 78866 1
1329 33277 1
38391 49327 1
3674 3844 1
20213 55642 1
5971 27309 1
5971 6284 1
29808 68820 1
13430 59858 1
60737 70787 1
29548 68044 1
46181 75896 1
7222 14016 1
1314 2157 1
1415 7840 1
32787 91790 1
11067 24976 1
88723 97981 1
65332 67815 1
11066 15876 1
10185 51304 1
40828 59159 1
32466 56277 1
411 1238 1
13070 97983 1
62790 73566 1
61633 73654 1
7258 15580 1
47401 57850 1
56971 71973 1
36401 58047 1
19895 20173 1
11745 31993 1
19895 56264 1
34341 52413 1
35231 71853 1
47392 92504 1
39525 45834 1
70264 93691 1
236 266 1
43050 80088 1
26598 32904 1
37815 81547 1
45874 61315 1
84061 88978 1
33034 38969 1
47416 60285 1
7753 8183 1
39860 86036 1
5713 87641 1
42275 76459 1
47406 97357 1
55666 69457 1
11894 21699 1
1574 58009 1
51625 91141 1
13068 43151 1
6133 42528 1
8642 17914 1
30181 37486 1
57516 92840 1
62799 72352 1
64179 86414 1
16785 63584 1
11154 73600 1
29227 68968 1
3424 18660 1
38304 51821 1
52676 63216 1
45939 82321 1
13098 31797 1
70921 93576 1
62802 93200 1
13598 14019 1
7766 23175 1
5735 53613 1
55638 60261 1
70941 94133 1
39859 41557 1
15767 21558 1
94847 97513 1
1562 57369 1
6147 48805 1
6147 15951 1
1182 71808 1
24541 99498 1
51659 91261 1
13610 22337 1
16800 28239 1
26560 73800 1
9531 56982 1
51668 62558 1
5727 22510 1
29221 59958 1
43071 61540 1
39882 64308 1
11180 51591 1
25920 94745 1
1603 53099 1
42232 72598 1
26646 42850 1
65491 91424 1
13652 98268 1
7999 34219 1
55703 57020 1
16907 63506 1
52759 96286 1
16902 33610 1
22405 27482 1
3350 93423 1
4165 77707 1
13042 16442 1
9985 95829 1
62771 85616 1
57750 94341 1
33099 85373 1
16937 20495 1
426 1432 1
3333 24860 1
25915 80840 1
51540 56471 1
72953 73235 1
51567 63810 1
59751 94000 1
47538 95660 1
74711 76612 1
40837 76793 1
13029 46890 1
7738 71007 1
19811 34368 1
25919 49173 1
1167 1335 1
75278 83328 1
30233 68042 1
7747 15695 1
16863 70043 1
416 524 1
47458 53734 1
94947 99840 1
6171 16123 1
8624 29598 1
4148 20636 1
47454 55359 1
26610 51690 1
52722 81045 1
43054 48135 1
67129 81674 1
20695 46784 1
13629 98569 1
34535 72511 1
29152 60720 1
22902 93772 1
15704 42723 1
47494 69604 1
38545 69832 1
65209 87821 1
3356 75270 1
8622 80300 1
22411 81945 1
6127 7753 1
61140 77508 1
11738 46715 1
52749 57467 1
13047 77925 1
11176 20648 1
89563 96468 1
36681 69876 1
33055 75337 1
24491 75006 1
3507 83691 1
40787 89998 1
52583 81943 1
15884 22676 1
10940 58302 1
32556 40942 1
1223 19449 1
58762 88250 1
32927 37588 1
29332 50277 1
73901 73977 1
89390 98931 1
3514 3780 1
4019 64177 1
388 588 1
55096 95361 1
88412 97262 1
15910 41512 1
80315 92281 1
22479 95222 1
1217 24852 1
57539 89312 1
4038 49933 1
37782 38180 1
30037 78189 1
7780 53045 1
42392 71658 1
3520 13917 1
15878 46316 1
51809 66853 1
22484 91934 1
1509 18088 1
66066 87300 1
4035 4340 1
22822 50360 1
7781 19292 1
6054 33148 1
62330 69340 1
59006 60843 1
36613 48520 1
3998 89997 1
13191 21548 1
5786 8727 1
10951 21448 1
13529 16729 1
26451 52651 1
24267 42147 1
82970 88310 1
38483 41388 1
42434 54919 1
37207 39820 1
16612 26123 1
7796 10073 1
40778 87960 1
26055 40402 1
4011 8563 1
66908 75159 1
7787 95844 1
387 600 1
26041 32763 1
1503 2652 1
42418 87851 1
34379 37461 1
22807 66227 1
29306 48887 1
30001 40162 1
29996 47051 1
16642 41296 1
42922 76933 1
1235 5855 1
20045 88875 1
88465 90933 1
29996 34409 1
3448 90650 1
7143 34395 1
55613 55963 1
3438 6172 1
47315 81079 1
29239 45539 1
29242 49601 1
15822 93207 1
20628 84600 1
66056 79819 1
47317 81460 1
13131 77690 1
1537 99984 1
36431 85834 1
19962 37595 1
254 8190 1
5754 5968 1
1536 5678 1
254 66213 1
16769 17864 1
3428 8099 1
7140 22454 1
16777 24475 1
15808 31830 1
60705 69539 1
15811 81431 1
52647 62570 1
16769 48326 1
70292 79994 1
37687 84736 1
249 4557 1
39542 48332 1
59774 70795 1
1197 42391 1
5743 32299 1
42335 49881 1
5745 40717 1
10929 35202 1
37191 97730 1
16710 82578 1
3480 18779 1
15846 59630 1
7249 80813 1
52615 64859 1
55059 57215 1
46064 99202 1
26506 97688 1
8655 94466 1
392 64131 1
19989 84141 1
63838 83954 1
46076 91743 1
19991 67101 1
66064 73018 1
19992 66630 1
11868 12381 1
22843 43390 1
38327 43113 1
30100 96571 1
46022 62341 1
10922 82550 1
1533 5082 1
11873 77852 1
3463 24232 1
256 6455 1
40004 71552 1
42365 60867 1
13144 15129 1
52628 88554 1
3474 29838 1
55585 79062 1
7775 69439 1
47254 54848 1
70302 95796 1
18183 76143 1
23780 42276 1
2526 14896 1
41401 46697 1
8983 16000 1
31816 53094 1
43807 44114 1
4920 64675 1
49194 59169 1
81049 85961 1
64894 97460 1
18179 31209 1
21942 43275 1
69413 74199 1
4911 90453 1
49177 84629 1
40391 42143 1
21945 37734 1
97470 98229 1
4940 54807 1
27380 33388 1
59401 73944 1
4934 44292 1
38833 42016 1
39062 53646 1
12340 17074 1
54398 84160 1
23461 67123 1
37041 74417 1
33800 41139 1
770 28891 1
49202 57933 1
97469 99401 1
74965 90660 1
56790 86578 1
21543 67593 1
25262 87403 1
21549 56743 1
75084 85852 1
2551 3046 1
609 47118 1
18149 29830 1
33761 50291 1
50334 59466 1
14699 49568 1
5271 18622 1
97260 97891 1
71722 75984 1
23436 23699 1
21541 70966 1
56435 66378 1
18971 32768 1
66422 71942 1
4907 12425 1
49174 62296 1
49174 55433 1
9414 27860 1
23457 41318 1
28012 33009 1
6976 32795 1
778 14037 1
85868 92058 1
61499 80586 1
4905 7124 1
4901 43572 1
7517 34381 1
2546 26592 1
41036 48839 1
9415 80188 1
34897 61692 1
21632 39119 1
6774 10346 1
18871 28117 1
5234 17637 1
2486 8408 1
14256 42303 1
750 19627 1
60570 92415 1
18273 62558 1
18280 26645 1
4974 96657 1
27939 61832 1
14595 28045 1
27943 86044 1
2500 8774 1
76079 76105 1
33830 65432 1
14596 51935 1
9355 25246 1
14267 77105 1
8295 70919 1
41363 55092 1
31408 81317 1
34732 65171 1
6776 82469 1
18296 57029 1
38858 56185 1
2500 26516 1
18294 23069 1
66578 73703 1
39050 80017 1
18863 96922 1
8293 46140 1
23762 82573 1
2137 2302 1
621 79345 1
14618 99472 1
2509 79731 1
25210 61304 1
41383 95570 1
24949 41782 1
23485 83613 1
2512 3991 1
68998 91325 1
2508 64488 1
18217 91469 1
621 6877 1
6756 19138 1
62223 74477 1
31791 43576 1
4942 6621 1
49225 59238 1
81509 86951 1
56499 61313 1
14246 48350 1
4967 13577 1
4965 15894 1
50255 94868 1
14605 15738 1
42 45954 1
31372 70028 1
39093 66876 1
69016 81020 1
27387 35877 1
2121 39148 1
21923 47608 1
9713 78690 1
31361 42990 1
18225 87344 1
10391 60392 1
36891 49484 1
18015 24295 1
5315 37395 1
9827 73699 1
18011 86624 1
64612 71858 1
9423 32021 1
14807 66452 1
28156 87781 1
19061 79385 1
5318 77697 1
25336 95317 1
31162 68722 1
43692 74915 1
31900 95447 1
41512 95856 1
17986 50011 1
25312 79637 1
6681 76599 1
10614 54104 1
21482 70652 1
59335 74305 1
2043 6508 1
77252 91968 1
48965 54621 1
62589 98808 1
75 3289 1
27287 63349 1
50441 65410 1
43715 55445 1
8234 9101 1
27286 49113 1
10621 17570 1
66631 93877 1
37934 66981 1
14828 59201 1
8958 71104 1
80939 95238 1
71636 89896 1
41533 56325 1
85519 91208 1
57182 85505 1
17945 97956 1
24862 82223 1
75627 85294 1
2684 14080 1
836 93350 1
35831 88927 1
8207 10163 1
41540 50529 1
63450 71278 1
6641 68043 1
39147 74509 1
22012 96549 1
4809 93147 1
44636 70666 1
9069 18035 1
80943 88922 1
19076 42847 1
4800 6119 1
17968 65184 1
19032 81659 1
19078 51432 1
9829 30125 1
10387 37935 1
24863 53151 1
19080 49348 1
9831 10517 1
12477 62113 1
49062 95882 1
31848 59038 1
53856 68559 1
85784 89673 1
49064 89425 1
8433 17158 1
21518 95295 1
7525 32743 1
59348 76154 1
33738 49323 1
40411 89682 1
18109 18610 1
43740 70232 1
14167 94090 1
8254 43493 1
18104 26780 1
14758 15566 1
56413 85963 1
71713 71793 1
18972 26352 1
14729 20872 1
31241 61499 1
40216 62650 1
85814 86234 1
18129 20306 1
4877 15829 1
56426 57892 1
35901 71703 1
53864 69005 1
4875 9122 1
2571 56861 1
6716 77271 1
97218 97330 1
21972 83870 1
11423 27131 1
31189 32869 1
12421 19716 1
19019 98702 1
4846 10237 1
812 49223 1
14153 68668 1
4843 86387 1
44567 76543 1
10604 49652 1
2605 3491 1
75094 90715 1
2612 22042 1
85707 86836 1
2049 2393 1
8241 53315 1
8240 77139 1
14783 15253 1
50392 95017 1
64911 76790 1
2593 22855 1
27315 56556 1
67356 81556 1
49045 91470 1
53830 54912 1
27313 69520 1
76416 90135 1
14565 24917 1
596 4846 1
11412 64822 1
19009 26404 1
18090 37427 1
9818 56186 1
78070 78080 1
39121 83263 1
6933 26711 1
31642 79680 1
36020 62580 1
31554 47830 1
2343 6014 1
56750 68907 1
21737 81661 1
2347 70035 1
23605 31712 1
2224 41239 1
9732 38859 1
2348 35448 1
75005 78782 1
78149 85033 1
37981 75816 1
2355 6849 1
69226 95582 1
33976 77886 1
14433 74013 1
8348 9019 1
25090 31160 1
2236 78821 1
54287 78826 1
41189 47981 1
2234 56357 1
34051 95843 1
21745 41790 1
14444 48469 1
695 7434 1
8377 77449 1
23677 98197 1
36065 40336 1
18543 48434 1
44122 87589 1
49726 78725 1
36005 72293 1
9730 89320 1
38989 67042 1
6859 9068 1
18467 19832 1
23693 79218 1
36006 65223 1
5176 86995 1
86617 91376 1
25110 91356 1
23577 87151 1
60304 82247 1
31656 99311 1
41104 89998 1
18755 81639 1
5178 19229 1
27515 27706 1
8326 49276 1
27738 43319 1
31540 47342 1
23595 30461 1
21842 69229 1
91653 93331 1
21728 48622 1
25013 90547 1
67414 71026 1
41109 82894 1
49945 92824 1
2211 69860 1
11511 24401 1
27525 90810 1
50019 82199 1
27524 49562 1
50020 65622 1
44153 61560 1
12153 15087 1
34770 76536 1
2284 42825 1
27636 96682 1
54253 58264 1
67439 94651 1
38942 48818 1
23659 46464 1
23634 61766 1
27630 39755 1
2289 75100 1
12156 69408 1
2290 18047 1
2290 39147 1
18656 76339 1
21813 68798 1
18605 60592 1
54269 78121 1
2264 9676 1
60297 69210 1
27614 95706 1
5138 8911 1
21800 34699 1
2275 67039 1
14386 36269 1
6918 82053 1
0 17376 1
3 86210 1
18628 53354 1
27605 78628 1
49879 50753 1
6916 70000 1
49877 95092 1
34030 34145 1
31619 69914 1
56682 83808 1
2248 26435 1
11520 47907 1
14422 34352 1
12171 47251 1
688 47939 1
44100 53858 1
69194 88401 1
49936 56046 1
57232 61159 1
41175 74961 1
54189 57524 1
14423 32692 1
40315 73280 1
690 67792 1
27679 54982 1
18695 44300 1
9751 20456 1
27650 80248 1
18593 36084 1
58140 81362 1
34765 81194 1
64799 96735 1
23674 52461 1
6898 13687 1
2306 5737 1
34069 55989 1
21768 75087 1
9386 97635 1
7439 39229 1
2308 40915 1
14413 15754 1
5 30372 1
5150 14348 1
28 10979 1
73616 91991 1
12270 42769 1
14515 59330 1
12090 32379 1
54074 57615 1
2165 33854 1
12276 16248 1
28 1308 1
14514 46402 1
7414 8179 1
63318 71330 1
11483 20255 1
54357 65388 1
18351 23753 1
54065 96264 1
18345 58971 1
59436 92923 1
62518 96082 1
34804 70509 1
50110 61298 1
27842 67526 1
2170 9581 1
56569 69025 1
10524 97800 1
54346 57941 1
7468 23419 1
64731 76046 1
18809 98262 1
36967 82430 1
64864 98314 1
6809 53481 1
54351 86199 1
36091 63481 1
23533 59091 1
18312 98846 1
2458 10829 1
49380 59132 1
25173 87235 1
37036 39347 1
23515 90709 1
81442 82247 1
8999 46580 1
49367 86799 1
5220 33949 1
49365 75088 1
9784 35020 1
2145 10114 1
34116 79521 1
49361 50748 1
49360 52698 1
64713 90497 1
43872 47318 1
8303 24153 1
41337 75149 1
10530 72203 1
12087 14848 1
56541 59419 1
27871 67171 1
31444 66882 1
78724 80691 1
18337 31378 1
719 29801 1
31441 48397 1
33866 65532 1
21897 44372 1
54054 69963 1
86090 88225 1
11476 74576 1
23517 81271 1
38016 86929 1
6945 33355 1
25128 31437 1
91594 92423 1
27785 58846 1
49571 83795 1
18432 24161 1
2402 19134 1
27493 62582 1
78873 97876 1
44183 94122 1
43959 89912 1
64764 73544 1
34751 92299 1
14484 92992 1
2186 7019 1
12237 27771 1
21864 51233 1
14470 81097 1
18444 68567 1
21714 26501 1
37519 79232 1
27512 28889 1
25000 92545 1
81174 81421 1
18 94 1
18438 82672 1
58203 94290 1
74996 98368 1
8388 93210 1
37521 90095 1
27783 89060 1
44166 94284 1
8323 80970 1
8323 55865 1
33909 96976 1
2422 66037 1
2423 22372 1
14499 36489 1
25140 42986 1
10517 76633 1
27820 50198 1
69308 77362 1
49502 57697 1
38017 39104 1
27472 87173 1
37479 91923 1
14307 22655 1
2174 56704 1
18385 20065 1
91527 96456 1
23715 47404 1
49524 68421 1
2183 3373 1
10439 43075 1
54335 82103 1
27812 28705 1
10516 10710 1
56603 67516 1
12099 82828 1
2417 44384 1
9095 10070 1
2181 3081 1
12097 53263 1
34087 66943 1
33912 91340 1
6825 30756 1
14495 77180 1
65880 99810 1
19196 47320 1
69676 93008 1
53562 75275 1
43591 81970 1
53569 82455 1
48658 54488 1
10357 95975 1
30976 38663 1
2787 3029 1
25437 35473 1
17792 46639 1
31966 37949 1
28343 36618 1
27149 74398 1
